Consolidated results,2020,2019,2018
Net revenues,"$ 48,198","$ 41,419","$ 40,107"
Earnings applicable to Morgan Stanley common shareholders,"$ 10,500","$ 8,512","$ 8,222"
Earnings per diluted common share,$ 6.46,$ 5.19,$ 4.73
"Consolidated financial measures,Expense efficiency ratio",70.1 %,72.7 %,72.0 %
Adjusted expense efficiency ratio,69.6 %,72.7 %,72.0 %
ROE,13.1 %,11.7 %,11.8 %
Adjusted ROE,13.3 %,11.7 %,11.8 %
ROTCE,15.2 %,13.4 %,13.5 %
Adjusted ROTCE,15.4 %,13.4 %,13.5 %
Pre-tax margin,29.9 %,27.3 %,28.0 %
"Pre-tax margin by segment,Institutional Securities",35.3 %,26.9 %,30.4 %
Wealth Management,23.0 %,27.2 %,26.2 %
"Wealth Management, adjusted",24.2 %,27.2 %,26.2 %
Investment Management,23.3 %,26.2 %,16.9 %
