At,December,31,,2020,At,December,31,,2019
Cash,and,cash,equivalents,$,105,654,$,82,171
Trading,assets,at,fair,value,($132,578,and,$128,"386,were,pledged,to,various,parties),312,738,297,110"
Investment,securities,(includes,$110,383,and,$62,223,at,"fair,value),182,154,105,725"
Securities,purchased,under,agreements,to,resell,(includes,$15,and,"$4,at,fair,value),116,234,88,224"
Securities,borrowed,112,391,106,549,,,,
Customer,and,other,receivables,97,737,55,646,,
Loans:,Held,for,investment,(net,of,allowance,of,$835,"and,$349),137,784,118,060"
Held,for,sale,12,813,12,577,,,
Goodwill,11,635,7,143,,,,,
Intangible,assets,(net,of,accumulated,amortization,of,$3,265,"and,$3,204),4,980,2,107"
Other,assets,21,742,20,117,,,,
Total,assets,$,1,115,862,$,895,429,
Deposits,(includes,$3,521,and,$2,099,at,fair,"value),$,310,782,$,190,356"
Trading,liabilities,at,fair,value,157,631,133,356,
Securities,sold,under,agreements,to,repurchase,(includes,$1,115,"and,$733,at,fair,value),50,587,54,200"
Securities,loaned,7,731,8,506,,,,
Other,secured,financings,(includes,$11,701,and,$7,809,"at,fair,value),15,863,14,698"
Customer,and,other,payables,227,437,197,834,,
Other,liabilities,and,accrued,expenses,25,603,21,155,
Borrowings,(includes,$73,701,and,$64,461,at,fair,"value),217,079,192,627"
Total,liabilities,$,1,012,713,$,812,732,
