,"At December 31，December 31,",At
"$ in millions, except share data",2020,2019
Assets,,
Cash and cash equivalents,"$ 7,102 $","8,010"
Trading assets at fair value Investment securities (includes$20037and,"6,862","5,747"
"$19,824atfairvalue;$24,248and$4,606 were pledged to various parties)","39,225","37,253"
Securities purchased under agreement to resell toaffiliates,"34,698","10,114"
Advances to subsidiaries:,,
Bank and BHC,"22,692","27,667"
Non-bank,"121,731","104,345"
Equity investments in subsidiaries:,,
Bank and BHC,"52,951","36,093"
Non-bank,"47,450","43,667"
Other assets,454,244
Total assets Liabilities,"$ 333,165$","273,140"
Trading liabilities at fair value,"$ 1,623 $","1,130"
Securities sold under agreements to,,
repurchase from affiliates,"24,349","4,631"
Payables to and advances from subsidiaries,"43,252","35,470"
"Otherliabilities and accrued expenses Borrowings (includes $18,804 and $20,461 at","2,181","2,153"
fair value),"159,979","148,207"
Total liabilities,"231,384","191,591"
Commitments and contingent liabilities (see Note 15),,
Equity,,
Preferred stock,"9,250","8,520"
"Common stock, $0.01 par value:",,
"Shares authorized:3,500,00,00; Shares issued:289:rtan 1,809,624,144and1,593,973,680",20,20
Additional paid-in capital,"25,546","23,935"
Retained earnings,"78,694","70,589"
Employee stock trusts,"3,043","2,918"
Accumulated other comprehensive income (loss),"(1,962)","(2,788)"
"Common stock held in treasury at cost, $0.01 parvalue(229,269,835and4442099",,
shares) Common stock issued to employee stock,"(9,767)","(18,727)"
trusts,"(3,043)","(2,918)"
Total shareholders'equity,"101,781","81,549"
Total liabilities and equity,"$ 333,165$","273,140"
