$in billions,"Years to Maturity at December 31,2020","Years to Maturity at December 31,2020","Years to Maturity at December 31,2020","Years to Maturity at December 31,2020","Years to Maturity at December 31,2020","Years to Maturity at December 31,2020","Years to Maturity at December 31,2020","Years to Maturity at December 31,2020"
$in billions,<1,<1,1-3,1-3,3-5,3-5,Over 5 Total,Over 5 Total
Single-name CDS,,,,,,,,
Investment grade,$,9$,,19$,32$,,9$,69
Non-investment grade,,7,,10,17,,2,36
Total,$,,16$,29$,49$,,11$,105
Index and basket CDS,,,,,,,,
Investment grade,$,,2$,5$,,39$,14$,60
Non-investment grade,,6,,9,29,,14,58
Total,$,8$,,14$,68$,,28$,118
Total CDS sold,$,24$,,43$,117$,,39$,223
Other credit contracts,,二,,二,二,,,二
Total credit protection sold,,,,,,,二,
CDS protection sold with identical protection purchased,$,,24$,43$,117$,,39$,223 $196
