,Liabilities,Liabilities,Liabilities,Liabilities
,Bilateral OTC,OTC,Cleared Exchange- Traded,Total
$in billions Designated as accounting hedges,,,,
Interest rate,$,1$,71$,$ 71
Foreign exchange,9,,2,11
Total,9,73,,82
Not designated as accounting hedges,,,,
Interest rate,"4,185","6,866",666,"11,717"
Credit,153,84,二,237
Foreign exchange,"2,841",91,14,"2,946"
Equity,455,一,515,970
Commodity and other,85,一,61,146
Total,"7,719","7,041","1,256","16,016"
Total gross derivatives,"$ 7,728","$ 7,114","$ 1,256","$ 16,098"
