Loans Held for Investment,Loans Held for Sale,$ in millions
Corporate,"$ 6,046","$ 14,626"
Secured lending facilities,"25,727","29,023"
Commercial real estate,"7,346","8,168"
Residential real estate,"35,268","35,316"
Securities-based lending and Other loans,"64,232","64,299"
"Total loans, before ACL","138,619","151,432"
ACL,(835),(835)
"Total loans, net","$ 137,784","$ 150,597"
"Fixed rate loans, net",,"$ 32,796"
"Floating or adjustable rate loans, net",,"117,801"
"Loans to non-U.S. borrowers, net",,"21,081"
