,Shares Issued,Depositary Shares per Share,Redemption,Redemption
,Shares Issued,Depositary Shares per Share,Price per Share,Date4
Series1.2 A,"44,000","1,000","$ 25,000",Currently redeemable
C,"1,160,791",N/A,"1,100",Currently redeemable
E,"34,500","1,000","25,000","October15,2023"
F,"34,000","1,000","25,000","January 15,2024"
H,"52,000",25,"25,000",Currently redeemable
1,"40,000","1,000","25,000","October 15,2024"
J,"60,000",25,"25,000",Currently redeemable
K,"40,000","1,000","25,000","April 15,2027"
L,"20,000","1,000","25,000","January 15,2025"
M,"400,000",N/A,"1,000","September 15,2026"
N,"3,000",100,"100,000","October 2,2025"
