"At December 31, 2020","At December 31, 2019"
Liquidity resources (in millions),"$,$338,623"
Loans (in millions),"$,$150,597"
Total assets (in millions),"$,$1,115,862"
Deposits (in millions),"$,$310,782"
Borrowings (in millions),"$,$217,079"
Common shares outstanding,"1,810"
Common shareholders' equity (in millions),"$,$92,531"
Tangible common shareholders' equity (in millions),"$,$75,916"
Book value per common share (dollars),"$,$51.13"
Tangible book value per common share (dollars),"$,$41.95"
Worldwide employees (in thousands),"68,60"
