At December 31, 2020
$ in millions,"MABS1,CDO,MTOB,OSF,Other2"
VIE assets (UPB),"184,153,3,527,6,524,2,161,48,241"
Maximum exposure to loss3,"Debt and equity interests,26,247,257,—,1,187,11,008,Derivative and other contracts,—""—""4,425""—"",Commitments,guarantees and other,929—""—""—""749"",Total,27,176,257,4,425,1,187,17,396"
Carrying value of variable interests—Assets,"Debt and equity interests,26,247,257,—,1,187,11,008,Derivative and other contracts,—""—""5""—"",Total,26,247,257,5,1,187,11,859"
Additional VIE assets owned4,"20,019,Carrying value of variable interests—Liabilities,Derivative and other contracts,——""—""222"",At December 31,2019"
$ in millions,"MABS1,CDO,MTOB,OSF,Other2"
VIE assets (UPB),"125,603,2,976,6,965,2,288,51,305"
Maximum exposure to loss3,"Debt and equity interests,16,314,240,—,1,009,11,977,Derivative and other contracts,—""—""4,599""—"",Commitments,guarantees and other,631—""—""—""266"",Total,16,945,240,4,599,1,009,15,238"
Carrying value of variable interests—Assets,"Debt and equity interests,16,314,240,—,1,008,11,977,Derivative and other contracts,—""—""6""—"",Total,16,314,240,6,1,008,12,365"
Additional VIE assets owned4,"11,453,Carrying value of variable interests—Liabilities,Derivative and other contracts,——""—""444"""
