CDS,Credit default swaps,Income statements,Consolidated income statements
Glossary of Common Terms and Acronyms,Morgan Stanley,,
ABS,Asset-backed securities,,
ACL,Allowance for credit losses,,
AFS,Available-for-sale,,
AML,Anti-money laundering,,
AOCI,Accumulated other comprehensive income (loss),,
AUM,Assets under management or supervision,,
Balance sheets,Consolidated balance sheets,,
BHC,Bank holding company,,
FFELP,Federal Family Education Loan Program,,
FFIEC,Federal Financial Institutions Examination Council,,
FHC,Financial Holding Company,,
FICC,Fixed Income Clearing Corporation,,
FICO,Fair Isaac Corporation,,
Financial statements,Consolidated financial statements,,
FVA,Funding valuation adjustment,,
G-SIB,Global systemically important banks,,
Balance sheets\tConsolidated balance sheets\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t,,,
CECL,Current Expected Credit Losses,as calculated under the Financial Instruments-Credit Losses accounting update,"IRS,Internal Revenue Service"
CFTC,U.S. Commodity Futures Trading Commission,IS,Institutional Securities
CLN,Credit-linked note(s),LCR,"Liquidity coverage ratio,as adopted by the U.S. banking agencies"
CLO,Collateralized loan obligation(s),LIBOR,London Interbank Offered Rate
CMBS,Commercial mortgage-backed securities,LTV,Loan-to-value
CMO,Collateralized mortgage obligation(s),M&A,"Merger,acquisition and restructuring transaction"
CVA,Credit valuation adjustment,MSBNA,"Morgan Stanley Bank,N.A."
,MS&Co.,Morgan Stanley & Co. LLC,
CMO Collateralized mortgage obligation(s) MSBNA Morgan Stanley Bank,N.A.,,
CVA Credit valuation adjustment MS&Co. Morgan Stanley & Co. LLC,,,
DVA Debt valuation adjustment MSIP Morgan Stanley & Co. International plc,,,
EBITDA Earnings before interest,"taxes,depreciation and amortization MSMS Morgan Stanley MUFG Securities Co.,Ltd.",,
ELN Equity-linked note(s) MSPBNA Morgan Stanley Private Bank,National Association,,
EMEA Europe,Middle East and Africa MSSB Morgan Stanley Smith Barney LLC,,
EPS Earnings per common share MUFG Mitsubishi UFJ Financial Group,Inc.,,
E.U. European Union MUMSS Mitsubishi UFJ Morgan Stanley Securities Co.,Ltd.,,
FDIC Federal Deposit Insurance Corporation,,,
