Category, Metric, At December 31, 2020
Employees, Employees by geography (thousands), Americas, 48
Employees, Employees by geography (thousands), Asia Pacific, 12
Employees, Employees by geography (thousands), EMEA, 8
Culture, Employee engagement², % Proud to work at Morgan Stanley, 88 %
Culture, Global gender representation, % Female, 39 %
Culture, Global gender representation, % Female officer³, 26 %
Diversity and Inclusion, U.S. ethnic diversity representation, % Ethnically diverse⁴, 30 %
Diversity and Inclusion, U.S. ethnic diversity representation, % Ethnically diverse officer³, 24 %
Retention, Voluntary attrition in 2020, % Global, 7 %
Retention, Tenure, Management Committee average length of service (years), 19
Retention, Tenure, All employees average length of service (years), 7
Compensation, Compensation and benefits, Total compensation and benefits expense in 2020 (millions), $ 20854
