$ in millions,IS,WM<IM>I/E>Total
Investment banking,"$ 5,734","$ 509,$,(80),$ 6,163"
Trading,"10,318","734,(8),51,11,095"
Investments,325,"2,1,213,—,1,540"
Commissions and fees1,"2,484","1,726,1,(292),3,919"
Asset management1,413,"10,199,2,629,(158),13,083"
Other,632,"345,(46),(6),925"
Total non-interest revenues,"19,906","13,515,3,789,(485),36,725"
Interest income,"12,193","5,467,20,(582),17,098"
Interest expense,"11,713","1,245,46,(600),12,404"
Net interest,480,"4,222,(26),18,4,694"
Net revenues,"$ 20,386","$ 17,737,$ 3,763,$ (467),$ 41,419"
Income from continuing operations before income taxes2,"$ 5,490","$ 4,832,$ 985,$ (6),$ 11,301"
Provision for income taxes,769,"1,104,193,(2),2,064"
Income from continuing operations,"4,721","3,728,792,(4),9,237"
"Income (loss) from discontinued operations, net of income taxes",—,"—,—,—,—"
Net income,"4,721","3,728,792,(4),9,237"
Net income applicable to noncontrolling interests,122,"—,73,—,195"
Net income applicable to Morgan Stanley,"$ 4,599","$ 3,728,$ 719,$ (4),$ 9,042"
