At December 31, 2019,CarryingValue,Level 1,Level 2,Level 3,Total
$ in millions,,$,$,$,$,
Financial assets,Cash and cash equivalents,$82,171,$82,171,",$82,171,$82,171"
Investment securities-HTM,43,502,30,661,12,"683,789,44,133"
Securities purchased under agreements to resell,88,220,,"86,794",1,"442,88,236"
Securities borrowed,106,549,,"106,551",,"106,551"
Customer and other receivables^1,51,134,,"48,215",2,"872,51,087"
Loans^2,130,637,,"22,293",108,"059,130,352"
Other assets,495,,495,,495,
Financial liabilities,Deposits,$188,257,$,"$188,639","$188,639,$188,639"
Securities sold under agreements to repurchase,53,467,,"53,486",,"53,486"
Securities loaned,8,506,,"8,506",,"8,506"
Other secured financings,6,889,,"6,800",92,"6,892"
Customer and other payables^1,195,035,,"195,035",,"195,035"
Borrowings,128,166,,"133,563",10,"133,573"
Commitment Amount,Lending commitments^3,$119,004,$,$748,"$338,$1,086"
