Maximum Potential Payout/Notional,Years to Maturity,Less than 1,1-3,3-5,Over 5,Total
"$ in millions,Credit derivatives","$ 24,428","$ 43,350","$ 116,780","$ 38,830",,"$ 223,388"
"Other credit contracts,—,",194,,,91,,285
"Non-credit derivatives,""$ in millions"",","1,308,747","1,010,126","337,949","805,802",,"3,462,624"
"Standby letters of credit and other financial guarantees issued^1,","1,136","1,395","1,217","3,676",,"7,424"
"Market value guarantees,87,25,",,,,112,,
"Liquidity facilities,""$ in millions"",","4,425",,,,,"4,425"
"Whole loan sales guarantees,—,",,,24,"23,157",,"23,181"
"Securitization representations and warranties,—,",,,,"66,556",,"66,556"
"General partner guarantees,150,120,32,118,",420,,,,,
"Client clearing guarantees,87,—,—,—,",,87,,,,
"Carrying Amount Asset (Liability),,,,,,",,,,,,
"$ in millions,Credit derivatives^2,","$ 1,227",,,,,
"Other credit contracts,(4),,,,,,",,,,,,
"Non-credit derivatives,""$ in millions"",^2,","(65,640)",,,,,
"Standby letters of credit and other financial guarantees issued^1,",111,,,,,
"Market value guarantees,—,,,,,",,,,,,
"Liquidity facilities,5,,,,,",,,,,,
"Whole loan sales guarantees,—,,,,,",,,,,,
"Securitization representations and warranties,—,^3,",(42),,,,,
"General partner guarantees,(70),,,,,,",,,,,,
"Client clearing guarantees,—,,,,一",,,,,,
