$ in millions,2020,2020,2020,2020,2020
$ in millions,IS,WM,IM,I/E,Total
Investment banking,"$7,204",$ 559,$ 1,$ (89),"$ 7,674"
Trading,"13,106",844,(34),76,"13,992"
Investments,166,12,808,1,986
Commissions and fees1,"2,935","2,291",1,(376),"4,851"
Asset management1,461,"10,955","3,013",(157),"14,272"
Other,(214),372,(39),(9),110
Total non-interest revenues,"23,658","15,033","3,749",(555),"41,885"
Interest income,"5,809","4,771",14,(432),"10,162"
Interest expense,"3,519",749,29,(448),"3,849"
Net interest,"2,290","4,022",(15),16,"6,313"
Net revenues,"$25,948","$19,055","$3,734",$ (539),"$48,198"
Income fromcontinuing operations before income,,,,,
taxes Provision for income taxes,"$9,151 2,040","$4,387 1,026",$ 870 171,$ 10 2,"$14,418 3,239"
Income from continuing operations,,,,,
"Income (loss) from discontinued operations,","7,111","3,361",699,8,"11,179"
net of income taxes Net income,"7,111",,,,
Net income applicable to,,"3,361",699,8,"11,179"
noncontrolling interests Net income applicable to,99,,84,,183
MorganStanley,"$7,012 $ 3,361",,$ 615$,,"8$10,996"
