$ in billions,2020,2019,2018
Average common equity,Institutional Securities,$ 42.8,"$ 40.4,$ 40.8"
,Wealth Management,20.8,"18.2,16.8"
,Investment Management,2.6,"2.5,2.6"
ROE,Institutional Securities,15.5 %,"10.4 %,11.0 %"
,Wealth Management,15.6 %,"19.8 %,20.0 %"
,Investment Management,23.3 %,"28.9 %,14.2 %"
Average tangible common equity,Institutional Securities,$ 42.3,"$ 39.9,$ 40.1"
,Wealth Management,11.3,"10.2,9.2"
,Investment Management,1.7,"1.5,1.7"
ROTCE,Institutional Securities,15.7 %,"10.5 %,11.2 %"
,Wealth Management,28.9 %,"35.6 %,36.6 %"
,Investment Management,36.0 %,"46.6 %,22.2 %"
