$in millions,2020,2019,2018,
Net derivatives: Equity,,,,
Beginning balance,"$ (1,684) $ (1,485) $1,208",,,
Realized and unrealized gains (losses),72,(260),,305
Purchases,179,155,,122
Issuances,（713）,(643),"(1,179)",
Settlements,(354),242,,314
Net transfers3,269,307,(2.255),
Ending balance,"$ (2,231) $ (1684) $ (1.485)",,,
Unrealized gains (losses),(210) $,(194)$,,211
Net derivatives: Commodity and other,,,,
Beginning balance,"$1,612 $ 2,052 $ 1,446",,,
Realized and unrealized gains (osses),251,73,,500
Purchases,89,152,,34
Issuances,（57),（92),,(18)
Settlements,(183),(611),,(81)
Netransfers,（3),38,,171
Ending balance,"$1,709 $",,1.612 $2.052,
Unrealized gains (losses),(309) $,,(113)$,272
Deposits,,,,
Beginning balance,$ 179$,,27$,47
Realized and unrealized losses (gains),15,,20,1
Issuances,21,,101,9
Settlements,(17),,(15),（2)
Net transfers,（72),,46,(26)
Ending balance,$,126$,179$,27
Unrealized losses (gains),$,15$,20$,1
Nonderivative trading liabilities,,,,
Beginning balance,$,37$,16$,25
Realized and unrealized losses (gains) Purchases,(18）,,(21),6
Sales,(35),,(65),（18）
Settlements,27,,38,9
Net transfers,3,,1,二
Ending balance,65,,69,6
Unrealized losses (gains),$,79$,37$,16
Securities sold under agreements to repurchase,$,(18)$,(21) $,1
Beginning balance,,,,
Realized and unrealized losses (gains),$,-$,1$,150
Issuances,(27),,,
Net transfers,470,,,
Ending balance,,1,,(150)
Unrealized losses (gains),$,444$,$,
Other secured financings,$,(27)$,-$,
Beginning balance,$,,208$,239
Realized and unrealized losses (gains),21,109$,,（39）
Issuances,208,,5,
Settlements,,,二,8
Net transfers,,(217),（8）,（17)
Ending balance,$,395 516$,（96),17 208
,,,109$,
Unrealized losses (gains),$,21$,5$,(39)
