"Years to Maturity at December 31, 2020",< 1,1-3,1-3,3-5,3-5,Over 5,Total
$ in billions,,,,,,,
Single-name CDS,Investment grade,$ 9,$ 19,,$ 32,,$ 9
,Non-investment grade,7,10,17,,2,
Total,$ 16,$ 29,,$ 49,,$ 11,
Index and basket CDS,Investment grade,$ 2,$ 5,,$ 39,,$ 14
,Non-investment grade,6,9,29,,14,
Total,$ 8,$ 14,,$ 68,,$ 28,
Total CDS sold,$ 24,$ 43,,$ 117,,$ 39,
Other credit contracts,,,,,,,
Total credit protection sold,$ 24,$ 43,,$ 117,,$ 39,
CDS protection sold with identical protection purchased,,,,,,,
