At December 31, 2020,Level 1,Level 2,Level 3,Netting^1,Total
$ in millions,Level 1,Level 2,Level 3,Netting^1,Total,
Assets at fair value,,,,,,
Trading assets:,,,,,,
U.S. Treasury and,"43,084","31,524",9,,"74,617",
agency securities,,,,,,
Other sovereign,"26,174","5,048",268,,"31,490",
government obligations,,,,,,
obligations,,,,,,
State and municipal,,"1,135",,,"1,135",
securities,,,,,,
MABS,,"1,070",322,,"1,392",
Loans and lending,,"5,389","5,759",,"11,148",
commitments^2,,,,,,
Corporate and other,,"30,093","3,435",,"33,528",
debt,,,,,,
Corporate equities^3,"111,575","1,142",86,,"112,803",
Derivative and other contracts:,,,,,,
Interest rate,"4,458","227,818","1,210",,"233,486",
Credit,,"6,840",701,,"7,541",
Foreign exchange,29,"93,770",260,,"94,059",
Equity,"1,132","65,943","1,369",,"68,444",
Commodity and other,"1,818","10,108","2,723",,"14,649",
Netting^1,"(5,488)","(310,534)","(1,351)","(62,956)","(380,329)",
Total derivative and other contracts,"1,949","93,945","4,912","(62,956)","37,850",
Investments^4,624,234,828,,"1,686",
Physical commodities,,"3,260",,,"3,260",
Total trading assets^4,"183,406","172,840","15,619","(62,956)","308,909",
Investment securities - AFS,"46,354","61,225","2,804",,"110,383",
Securities purchased under agreements to resell,,12,3,,15,
Total assets at fair value,"229,760","234,077","18,426","(62,956)","419,307",
