$ in millions,2020,2019,2018
Revenues,,,
Dividends from bank subsidiaries,"$ 2,811","$3,531","$2,969"
Dividends from BHC and non-bank subsidiaries,"1,170","1,998","2,004"
Total dividends from subsidiaries,"3,981","5,529","4,973"
Trading,(244),(54),54
Other,51,80,(5)
Total non-interest revenues,"3,788","5,555","5,022"
Interest income,"3,666","5,121","5,172"
Interest expense,"3,087","4,661","4,816"
Net interest,579,460,356
Net revenues,"4,367","6,015","5,378"
Non-interest expenses,387,300,225
Income before income taxes,"3,980","5,715","5,153"
Provision for (benefit from) income taxes,(109),（73),22
Net income before undistributed gain of subsidiaries,,"5,788","5,131"
Undistributed gain of subsidiaries,"4,089 6,907","3,254","3,617"
Net income,"10,996","9,042","8,748"
"Other comprehensive income (loss),net of tax:",,,
Foreign currency translation adjustments,102,(8）,(114)
Change in net unrealized gains (losses) onavailable-for-salesecurities,"1,580","1,137",(272)
Pensions and other,146,(66),137
Change in net debt valuation adjustment,"(1,002)","(1,559)","1,454"
Comprehensive income,"$11,822","$8,546","$9,953"
Net income,"$10,996","$9,042","$8,748"
Preferred stock dividends and other,496,530,526
Earnings applicableto Morgan Stanley,,,
common shareholders,,"$10,500 $ 8,512 $ 8.222",
