2018,$ in millions,IS,WM,IM,I/E,Total
Investment banking,$ 6,088,$ 475,$ ,$(81),"$ 6,482"
Trading,11,191,279,25,56,"11,551"
Investments,182,1,254,437,,
Commissions and fees^1,2,671,1,804,4,190
Asset management^1,421,10,158,2,468,"12,898"
Other,535,248,(30),(10),743,
Total non-interest revenues,21,088,12,965,2,"717,(469),36,301"
Interest income,9,271,5,498,57,"(934),13,892"
Interest expense,9,777,1,221,28,"(940),10,086"
Net interest,(506),4,277,29,6,"3,806"
Net revenues,$ 20,582,$ 17,242,$ 2,"746,$ (463),$ 40,107"
Income from continuing operations before income taxes,$ 6,260,$ 4,521,$ 464,"$ (8),$ 11,237"
Provision for income taxes,1,230,1,049,73,"(2),2,350"
Income from continuing operations,5,030,3,472,391,"(6),8,887"
Income (loss) from discontinued operations, net of income taxes,(6),2,8,4,
Net income,5,024,3,472,393,"(6),8,883"
Net income applicable to noncontrolling interests,118,17,8,748,,
Net income applicable to Morgan Stanley,$ 4,906,$ 3,472,$ 376,"$ (6),$ 8,748"
