"At December 31, 2019",Amortized Cost,Gross Unrealized Gains,Gross Unrealized Losses,Fair Value
$ in millions,,,,
AFS securities,,,,
U.S. government and agency securities:,,,,
U.S. Treasury securities,224,111,"32,578","$ 32,465"
U.S. agency securities2,"2,249",100,"20,874","20,725"
Total U.S. government and agency securities,473,211,"53,452","53,190"
Corporate and other debt:,,,,
Agency CMBS,55,57,"4,808","4,810"
Corporate bonds,17,1,"1,907","1,891"
State and municipal securities,22,-,,481
FFELP student loan ABS3,1,28,"1,553","1,580"
Total corporate and other debt,95,86,"8,771",
Total AFS securities,568,297,"62,223","8,762"
HTM securities,,,,
U.S. government and agency securities:,,,,
U.S. Treasury securities,568,52,"30,661",
U.S. agency securities2,151,57,"12,683","30,145 12,589"
Total U.S. government and agency securities,719,109,"43,344",
Corporate and other debt:,,,,
Non-agency CMBS,22,1,789,768
Total HTM securities,741,110,"44,133","43,502"
Total investment securities,"1,309",407,"106,356","$ 1,309 $"
