,"AtDecember31,2019","AtDecember31,2019","AtDecember31,2019","AtDecember31,2019"
,Amortized Cost,Gross Unrealized Gains,Gross Unrealized Losses,Fair Value
$ in millions AFS securities,,,,
U.S.government and agency securities:,,,,
U.S.Treasury securities,"$ 32,465$",224$,,"111 $32,578"
U.S.agency securities²,"20,725",249,100,"20,874"
Total U.S.government and agency securities,"53,190",473,211,"53,452"
Corporate and other debt:,,,,
Agency CMBS,"4,810",55,57,"4,808"
Corporate bonds,"1,891",17,1,"1,907"
State and municipal,,,,
securities,481,22,一,503
FFELP student loan ABS,"1,580",1,28,"1,553"
Total corporate and other debt,,,,"8,771"
Total AFS securities,"8,762",95,86,"62,223"
HTM securities,"61,952",568,297,
U.S.government and agency securities:,,,,
U.S.Treasury securities,,,,"30,661"
U.S.agency securities²,"30,145 12,589",568 151,52 57,"12,683"
Total U.S.government and,,,,
agency securities Corporate and other debt:,"42,734",719,109,"43,344"
Non-agency CMBS,,22,1,
,768,,,789
Total HTM securities,"43,502",741,110,"44,133"
Total investment,,,,
securities,"$105,454","$ 1,309 $",407,"$106,356"
