No.,Description,No.,Description
4.19,"Depository Receipt for Depository Shares, representing Fixed-to-Floating Rate Non-Cumulative Preferred Stock, Series J (included in Exhibit 4.18 hereto).",10.5†,"Morgan Stanley 401(k) Plan, amended and restated as of January 1, 2013 (Exhibit 10.6 to Morgan Stanley annual report on Form 10-K for the year ended December 31, 2012), as amended by Amendment (Exhibit 10.5 to Morgan Stanley’s annual report on Form 10-K for the year ended December 31, 2013), Amendment (Exhibit 10.6 to Morgan Stanley’s annual report on Form 10-K for the year ended December 31, 2013), Amendment (Exhibit 10.5 to Morgan Stanley’s annual report on Form 10-K for the year ended December 31, 2014), Amendment (Exhibit 10.5 to Morgan Stanley’s annual report on Form 10-K for the year ended December 31, 2015), Amendment (Exhibit 10.4 to Morgan Stanley’s annual report on Form 10-K for the year ended December 31, 2016), Amendment (Exhibit 10.4 to Morgan Stanley’s annual report on"
4.20,"Form of Deposit Agreement among Morgan Stanley, The Bank of New York Mellon and the holders from time to time of the depositary receipts representing interests in the Series K Preferred Stock described therein (Exhibit 2.4 to Morgan Stanley’s current report on Form 8-A dated January 30, 2017).",,"Form of Deposit Agreement among Morgan Stanley, The Bank of New York Mellon and the holders from time to time of the depositary receipts representing interests in the Series K Preferred Stock described therein (Exhibit 2.4 to Morgan Stanley’s current report on Form 8-A dated January 30, 2017)."
4.21,"Depository Receipt for Depository Shares, representing Fixed-to-Floating Rate Non-Cumulative Preferred Stock, Series K (included in Exhibit 4.20 hereto).",,"Form of Deposit Agreement among Morgan Stanley, The Bank of New York Mellon and the holders from time to time of the depositary receipts representing interests in the Series K Preferred Stock described therein (Exhibit 2.4 to Morgan Stanley’s current report on Form 8-A dated January 30, 2017)."
4.22,"Form of Deposit Agreement among Morgan Stanley, The Bank of New York Mellon and the holders from time to time of the depositary receipts representing interests in the Series K Preferred Stock described therein (Exhibit 2.4 to Morgan Stanley’s current report on Form 8-A dated January 30, 2017).",,
tsv,,,
Section Number,"Form of Deposit Agreement among Morgan Stanley, The Bank of New York Mellon and the holders from time to time of the depositary receipts representing interests in the Series L Preferred Stock described therein (Exhibit 2.4 to Morgan Stanley's Registration Statement on Form 8-A dated November 22, 2019).","Depository Receipt for Depositary Shares, representing 4.875% Non-Cumulative Preferred Stock, Series L (included in Exhibit 4.22 hereto).","Form of Deposit Agreement among Morgan Stanley, The Bank of New York Mellon and the holders from time to time of the depositary receipts representing interests in the Series N Preferred Stock described therein (Exhibit 4.5 to Morgan Stanley's current report on Form 8-K dated October 2, 2020).,Form of Depository Receipt representing interests in the Morgan Stanley Series N Preferred Stock. (included in Exhibit 4.24 hereto).,December 31, 2015), Amendment (Exhibit 10.4) to Morgan Stanley's annual report on Form 10-K for the year ended December 31, 2016), Amendment (Exhibit 10.4) to Morgan Stanley's annual report on Form 10-K for the year ended December 31, 2017), Amendment (Exhibit 10.5) to Morgan Stanley's annual report on Form 10-K for the year ended December 31, 2017), Amendment (Exhibit 10.4) to Morgan Stanley's annual report on Form 10-K for the year ended December 31, 2018) and Amendment (Exhibit 10.4) to Morgan Stanley's annual report on Form 10-K for the year ended December 31, 2019).,Amendment to Morgan Stanley 401(k) Plan, dated December 14, 2020.,Tax Deferred Equity Participation Plan as amended and restated as of November 26, 2007 (Exhibit 10.9 to Morgan Stanley's annual report on Form 10-K for the fiscal year ended November 30, 2007)."
Section Number,Section Description,Section Number,"Section Description,Section Number,Section Description,Section Number,Section Description"
4.25,Form of Depository Receipt representing interests in the Morgan Stanley Series N Preferred Stock. (included in Exhibit 4.24 hereto).,10.7,"Tax Deferred Equity Participation Plan as amended and restated as of November 26, 2007 (Exhibit 10.9 to Morgan Stanley's annual report on Form 10-K for the fiscal year ended November 30, 2007).,10.8†,Directors' Equity Capital Accumulation Plan as amended and restated as of November 1, 2018 (Exhibit 10.6 to Morgan Stanley's annual report on Form 10-K for the fiscal year ended December 31, 2018)."
10.1,"Amended and Restated Trust Agreement dated as of January 1, 2018 by and between Morgan Stanley and State Street Bank and Trust Company (Exhibit 10.1 to Morgan Stanley's quarterly report on Form 10-Q for the quarter ended March 31, 2018).",10.9†,"Employees' Equity Accumulation Plan as amended and restated as of November 26, 2007 (Exhibit 10.12 to Morgan Stanley's annual report on Form 10-K for the fiscal year ended November 30, 2007).,10.10†,Employee Stock Purchase Plan as amended and restated as of February 1, 2009 (Exhibit 10.20 to Morgan Stanley's annual report on Form 10-K for the fiscal year ended November 30, 2008)."
10.2,"Amended and Restated Investor Agreement dated as of June 30, 2011 by and between Morgan Stanley and Mitsubishi UFJ Financial Group, Inc. (Exhibit 10.1 to Morgan Stanley's current report on Form 8-K dated June 30, 2011), as amended by Third Amendment, dated October 3, 2013 (Exhibit 10.1 to Morgan Stanley's quarterly report on Form 10-Q for the quarter ended September 30, 2013) and Fourth Amendment, dated April 6, 2016 (Exhibit 10.1 to Morgan Stanley's quarterly report on Form 10-Q for the quarter ended March 31, 2016).",,
