Series,Shares Outstanding,"At December 31, 2020",Liquidation Preference per Share,"At December 31, 2020","At December 31, 2019"
Series A,"44,000","$ 25,000","$ 1,100","$ 1,100",
Series C1,"519,882","1,000",408,408,
Series E,"34,500","25,000",862,862,
Series F,"34,000","25,000",850,850,
Series H,"52,000","25,000","$ 1,300","1,300",
Series I,"40,000","25,000","$ 1,000","1,000",
Series J,"60,000","25,000","$ 1,500","1,500",
Series K,"40,000","25,000","$ 1,000","1,000",
Series L,"20,000","25,000",500,500,
Series M,"400,000","1,000",430,-,
Series N,"3,000","100,000",300,-,
Total,,"$ 9,250",,"$ 8,520",
