Liabilities,Bilateral OTC,Cleared OTC,Exchange-Traded,Total
$,,Bilateral OTC,Cleared OTC,"Exchange-Traded,Total"
Designated as accounting hedges,Interest rate,,71,"$,71"
,Foreign exchange,9,2,"$,11"
Total,,9,73,82
Not designated as accounting hedges,Interest rate,4185,6866,"666,11717"
,Credit,153,84,",237"
,Foreign exchange,2841,91,"14,2946"
,Equity,455,,"515,970"
,Commodity and other,85,,"61,146"
Total,,7719,7041,"1256,16016"
Total gross derivatives,"$ 7,728","$ 7,114","$ 1,256","$ 16,098"
