Parent Company Fixed Rate,Parent Company Variable Rate,Subsidiaries Fixed Rate,Subsidiaries Variable Rate,"At December 31,2020","At December 31,2019"
-,-,1,-,3690,3691
Original maturities of one year or less:,-,1,-,3690,3691
Original maturities greater than one year:,-,3329,616,5955,24241
2020,-,3329,616,5955,24241
2021,14341,9703,764,4833,22209
2022,10853,6299,123,5615,22890
2023,14096,2013,387,5231,21727
2024,10719,617,1547,5753,18636
2025,76499,4444,8301,14441,103685
Thereafter,-,4444,8301,14441,103685
Total,133417,26405,11738,41828,213388
Total borrowings,133417,26406,11738,45518,217079
Weighted average coupon at period end,3.3%,1.0%,0.9%,N/M,2.9%
