Balance / Range (Average^),"At December 31, 2020","At December 31, 2019"
"$ in millions, except inputs",Equity^,"$,(2,231),$,(1,684)"
Option model:,Equity volatility,"16% to 97% (43%),9% to 90% (36%),Equity volatility skew,-3% to 0% (-1%),-2% to 0% (-1%),Equity correlation,24% to 96% (74%),5% to 98% (70%),FX correlation,-79% to 60% (-16%),-79% to 60% (-37%),IR correlation,-13% to 47% (21% / 20%),-11% to 44% (18% / 16%)"
Commodity and other,$,"1,709,$,1,612"
Option model:,Forward power price,"$-1 to $157 ($28) per MWh,$3 to $182 ($28) per MWh,Commodity volatility,8% to 183% (19%),7% to 183% (18%),Cross-commodity correlation,43% to 99% (92%),43% to 99% (93%)"
Liabilities Measured at Fair Value on a Recurring Basis,Deposits,"$,126,$,179"
Option model:,Equity volatility,"7% to 22% (8%),16% to 37% (20%)"
Nonderivative trading liabilities,Corporate equities,"$,63,$,36"
Comparable pricing:,Equity price,"100%,N/M"
Securities sold under agreements to repurchase,$,"444,$,—"
Discounted cash flow:,Funding spread,"107 to 127 bps (115 bps),N/A"
Other secured financings,$,"516,$,109"
Discounted cash flow:,Funding spread,"111 bps (111 bps),111 to 124 bps (117 bps)"
Comparable pricing:,Loan price,"30 to 101 points (56 points),N/A"
Borrowings,$,"4,374,$,4,088"
Option model:,Equity volatility,"6% to 66% (23%),5% to 44% (21%),Equity volatility skew,-2% to 0% (0%),-2% to 0% (0%),Equity correlation,37% to 95% (78%),38% to 94% (78%),Equity - FX correlation,-72% to 13% (-24%),-75% to 26% (-25%),IR FX Correlation,-28% to 6% (-6% / -6%),-26% to 10% (-7% / -7%)"
Nonrecurring Fair Value Measurement,Loans,"$,3,134,$,1,500"
Corporate loan model:,Credit spread,"36 to 636 bps (336 bps),69 to 446 bps (225 bps)"
Warehouse model:,Credit spread,"200 to 413 bps (368 bps),287 to 318 bps (297 bps)"
Comparable pricing:,Bond Price,"88 to 99 bps (94 bps),N/M (N/M)"
