"At December 31, 2020","At December 31, 2019"
Liquidity resources,"$,$338,623,$215,868"
Loans,"$,$150,597,$130,637"
Total assets,"$,$1,115,862,$895,429"
Deposits,"$,$310,782,$190,356"
Borrowings,"$,$217,079,$192,627"
Common shares outstanding,"1,810,1,594"
Common shareholders' equity,"$,$92,531,$73,029"
Tangible common shareholders' equity,"$,$75,916,$63,780"
Book value per common share,"$,$51.13,$45.82"
Tangible book value per common share,"$,$41.95,$40.01"
Worldwide employees (in thousands),"68,60"
