"$ in millions,except per share data",2020,2019,2018
Earningsapplicable to Morgan Stanleycommonshareholders,"$10,500","$8,512","$8,222"
Impact of adjustments:,,,
Integration-related expenses Related taxbenefit,231,,
Adjusted earnings applicable to,(42),,
Morgan Stanley common shareholders一 non-GAAP1,"$10,689","$8,512","$8,222"
Earnings per diluted common share,$6.46,$ 5.19,$4.73
Impact of adjustments,0.12,,
Adjusted earnings per diluted common share-non-GAAPi,$ 6.58,$ 5.19,$4.73
Expense efficiency ratio,70.1%,72.7 %,72.0%
Impact of adjustments,(0.5)%,1 %,丨 %
Adjusted expense efficiency ratio一non- GAAP1,,,
Wealth ManagementPre-taxmargin,69.6 % 23.0 %,72.7% 27.2%,72.0% 26.2%
Impact of adjustments,1.2 %,-%,-%
Adjusted WealthManagement pre-tax margin-non-GAAP1,24.2 %,27.2%,26.2%
