$ in millions,At December 31，,"At December 31, 2019",
Common Equity Tier 1 capital,2020,,Change
Common stock and surplus $,"15,799 $",5.228 $,"10,571"
Retained earnings,"78,978","70,589","8,389"
AOCI,"(1,962)","(2,788)",826
Regulatory adjustments and deductions:,,,
Net goodwill,"(11,527)","(7,081)","(4,446)"
Net intangible assets,"(4,165)",(2.012),"(2,153)"
Other adjustments and deductions1,"1,527",815,712
Total Common Equity Tier 1 capital $,"78,650 $","64,751$","13,899"
Additional Tier1capital,,,
Preferred stock $,"9,250 $",8.520$,730
Noncontrolling interests Additional Tier1capital,619,607,12
$ Deduction for investments,"9,869 $","9,127 $",742
in covered funds,(440),(435),（5)
Total Tier1capital $,"88,079 $","73,443$","14,636"
Standardized Tier2 capital,,,
Subordinated debt $,"7,737 $",8.538$,(801)
Noncontrolling interests Eligible allowance for credit,146,143,3
losses Other adjustments and,"1,265",590,675
deductions Total Standardized Tier2,(14),(6),8
capital Total Standardized capital,"$ 9,134 $",9.265$,(131)
Advanced Tier2 capital,"$ 97,213 $","82,708 $","14,505"
Subordinated debt,"$ 7,737 $","8,538$",(801)
Noncontrolling interests,146,143,3
Eligible credit reserves,"1,046",305,741
Other adjustments and,,,(6) (8
deductions Total Advanced Tier 2,(14),,
capital,$,"8,915 $",8.980 $ (65)
Total Advanced capital,"$ 96,994 $","82,423$","14,571"
