,,Balance/Range (Average'),Balance/Range (Average')
"$in millions, exeptinputs Loans and lending","At December 31,2020","At December 31,2019",
commitments,$,"5,759$","5,073"
Margin loan model:,,,
Discount rate,,N/A,1% t0 9% (2%)
Volatility skew,,N/A,15% to 80% (28%)
Credit spread,,N/A,9 to 39 bps (19 bps)
Margin loan rate,1% to 5% (3%),,N/A
Comparable pricing:,,,
Loan price,,75 to 102 points (93 points)69 to100 points (93 points),
Corporate and otherdebt,,,"1,396"
Comparable pricing:,$,"3,435$",
Bond price,,,
Discounted cash flow:,,10 to 133 points (101 points)11to 108 points (84 points),
Recovery rate,,,35%
Option model:,40% to 62% (46%/40%),,
Equity volatity,,18% to 21% (19%),21%
Corporate equities,$,86$,97
Comparable pricing:,,,
Equity price,,100%,100%
Investments,$,828$,858
Discounted cash flow:,,,
WACC,,8% to 18% (15%),8% to 17% (15%)
Exit multiple,7 to 17 times (12 times),,7 to 16 times (11 times)
Market approach:,,,
EBITDA multiple,8 to 32 times (11 times),,7 to 24 times (11 times)
Comparable pricing:,,,
Equity price,45% to 100% (99%),,75% to 100% (99%)
Investment securities -AFS,$,2.804 $,
Comparable pricing:,,,
Bond price,97 to 107 points (101 points),,N/A
Net derivative and other contracts:,,,
Interest rate,$,,777
Option model:,,682$,
IR volatility skew,0% to 349% (62% /59%),,24% to 156% (63% /59%)
IR curve correlation,54% to 99% (87% / 89%),,47% to 90% (72%/72%)
Bond volatility,6% to 24% (13% / 13%),,4% to 15% (13% /14%)
Inflation volatility,25% to 66% (45%/43%),,24% to 63% (44% /41%)
IR curve,,,1%
Credit,,1%,124
Credit default swap model:,$,49$,
Cash-synthetic,,,
basis,,7 points,6 points
Bond price,0 to 85 points (47 points),,0 to 104 points (45 points)
Credit spread,20 to 435 bps (74 bps),,9 to 469 bps (81 bps)
Funding spread,65 to 118 bps (86 bps),,47 to 117 bps (84 bps)
Correlation model:,,,
Credit correlation,27% to 44% (32%),,29% to 62% (36%)
Foreign exchange²,$,61$,(31)
Option model: IR - FX correlation,,,
,55% to 59% (56% 56%),,32% to 56% (46% /46%)
IR volatility skew,0% to 349% (62%/ 59%),,24% to 156% (63% / 59%)
IR curve,6% to 8% (7%/8%),,10% t0 11% (10% /10%)
Foreign exchange volatiity skew,-22% to 28% (3%/1%),,N/A
Contingency probability,,50% to 95% (83% /93%),85% t0 95% (94% /95%)
