Pension Plans,2020,2019
$ in millions,Rollforward of benefit obligation,"Rollforward of benefit obligation,Rollforward of benefit obligation,Rollforward of benefit obligation"
Benefit obligation at beginning of year,"$ 4,026","$ 3,563,$ 4,026,$ 3,563"
Service cost,17,"16,17,16"
Interest cost,121,"139,121,139"
Actuarial loss (gain),362,"497,362,497"
Plan amendments,2,"—,2,—"
Plan settlements,(2),"(9),(2),(9)"
Benefits paid,(222),"(191),(222),(191)"
Other,30,"11,30,11"
Benefit obligation at end of year,"$ 4,334","$ 4,026,$ 4,334,$ 4,026"
Rollforward of fair value of plan assets,Rollforward of fair value of plan assets,"Rollforward of fair value of plan assets,Rollforward of fair value of plan assets,Rollforward of fair value of plan assets"
Fair value of plan assets at beginning of year,"$ 3,553","$ 3,203,$ 3,553,$ 3,203"
Actual return on plan assets,600,"499,600,499"
Employer contributions,35,"36,35,36"
Benefits paid,(222),"(191),(222),(191)"
Plan settlements,(2),"(9),(2),(9)"
Other,21,"15,21,15"
Fair value of plan assets at end of year,"$ 3,985","$ 3,553,$ 3,985,$ 3,553"
Funded (unfunded) status,$ (349),"$ (473),$ (349),$ (473)"
Amounts recognized in the balance sheets,Assets,"283,98,Assets,283,98"
Liabilities,(632),"(571),Liabilities,(632),(571)"
Net amount recognized,$ (349),"$ (473),Net amount recognized,$ (349),$ (473)"
