2020 Per Share,2020 Total,2019 Per Share,2019 Total,2018 Per Share,2018 Total
"""$ in millions, except per sharedata""","$1,017 $",44,"$1,014 $",44,"$1,011 $"
Preferred Stock Series,C,100,C,100,C
E,"1,781",60,"1,781",60,"1,781"
F,"1,719",60,"1,719",60,"1,719"
G²,-,-,"1,242",24,"1,656"
H,"1,143",60,"1,418",74,"1,363"
I,"1,594",64,"1,594",64,"1,594"
J,"1,213",74,"1,388",84,"1,388"
K,"1,463",59,"1,463",59,"1,463"
L,"1,219",23,169,3,-
M,-,-,-,-,-
N,-,-,-,-,-
Total Preferred stock,$496,,$524,,$526
"Common stock $1.40 $2,295","Common stock $1.40 $2,295","Common stock $1.30 $2,161","Common stock $1.10 $1,930",,
