"AtOctober 2,$in millions 2020"
"AssetsCash and cash equivalents $ 3,807"
"Trading assets at fair value:Loans and lending commitments 1,124"
Investments 44
"Investment securities 48,855"
Securities borrowed 975
"Customer and other receivables 12,267"
Loans:Held for investment 462
"Goodwill 4,270"
"Intangible assets1 3,282"
"Other assets 1,351"
"Total assets $ 76,437"
"LiabilitiesDeposits $ 44,890"
Securities loaned 766
"Customer and other payables 15,488"
"Other liabilities and accrued expenses 1,688"
"Borrowings 1,665"
"Total liabilities $ 64,497"
