,Parent Company,Parent Company,Subsidiaries,Subsidiaries,"At December31,","At December 31, 2019","At December 31, 2019"
,Fixed Rate1,Variable Rate²,Fixed Rate,Variable Rate²,"At December31,","At December 31, 2019","At December 31, 2019"
$ in millions Original maturities of one year or less:,,,,,,2020,
Next 12 months,$,一$,1$,"-$3,690 $",,"3,691 $","2,567"
Original maturities greater than one year:,,,,,,,
2020,$ 1,$,1$ 1,$,1$,1$,"20,402"
2021,"14,341","3,329",616,"5,955",,"24,241","26,085"
2022,"6,909","9,703",764,"4,833",,"22,209",19.888
2023,"10,853","6,299",123,"5,615",,"22,890","14,615"
2024,"14,096","2,013",387,"5,231",,"21,727","21,106"
2025,"10,719",617,"1,547","5,753",,"18,636","14,642"
Thereafter,"76,499","4,444","8,301","14,441",,"103,685","73,322"
Total,"$133,417","$26,405","$11,738","$41,828",$,"213,388 $","190,060"
Total borrowings,"$133,417","$26,406","$11,738","$45,518 $",,"217,079 $","192,627"
Weighted average couponat period end,3.3%,1.0%,0.9%,,N/M,2.9 %,3.4%
