At December 31, At December 31,
2020 2019,,
Fair Value Gross Unrealized Losses Fair Value Gross Unrealized Losses,,
$ in millions,,
U.S. government and agency securities:,,
U.S. Treasury securities,,
Less than12 months $ 151 $ — $ 4,793 $ 28,
12 months or longer — — 7,904 83,
Total 151 — 12,697 111,
U.S. agency securities,,
Less than12 months 5,808 22 2,641 20
12 months or longer 1,168 3 7,697 80
Total 6,976 25 10,338 100
Total U.S. government and agency securities:,,
Less than12 months 5,959 22 7,434 48
12 months or longer 1,168 3 15,601 163
Total 7,127 25 23,035 211
Corporate and other debt:,,
Agency CMBS,,
Less than12 months 2,779 9 2,294 26
12 months or longer 46 — 681 31,,
Total 2,825 9 2,975 57
Corporate bonds,,
Less than12 months — — 194 1,,
12 months or longer 31 — 44 —,,
Total 31 — 238 1,,
State and municipal securities,,
Less than12 months 86 — — —,,
12 months or longer 36 1 — —,,
Total 122 1 — —,,
FFELP student loan ABS,,
Less than12 months — — 91 —,,
12 months or longer 1,077 26 1,165 28
Total 1,077 26 1,256 28
Total Corporate and other debt:,,
Less than12 months 2,865 9 2,579 27
12 months or longer 1,190 27 1,890 59
Total 4,055 36 4,469 86
Total AFS securities in an unrealized loss position,,
Less than12 months 8,824 31 10,013 75
12 months or longer 2,358 30 17,491 222
Total $ 11,182 $ 61 $ 27,504 $ 297
