2018,Pre-tax Gain (Loss),Income Tax Benefit (Provision),After-tax Gain (Loss),Non-controlling Interests,Net
$ in millions,,-,-,-,-
CTA,OCI activity,$ (11),$ (79),$ (90),"24,$ (114)"
Reclassified to earnings,,-,-,-,-
Net OCI,$ (11),$ (79),$ (90),24,$ (114)
Change in net unrealized gains (losses) on AFS securities,OCI activity,$ (346),$ 80,$ (266),"-,($ 266)"
Reclassified to earnings,$ (8),2,$ (6),-,($ 6)
Net OCI,$ (354),$ 82,$ (272),-,($ 272)
Pension and other,OCI activity,$ 156,$ (37),$ 119,",-,$ 119"
Reclassified to earnings,26,$ (8),18,,"-,$ 18"
Net OCI,$ 182,$ (45),$ 137,,"-,$ 137"
Change in net DVA,OCI activity,$ 1,947,$ (472),"$ 1,475,63,$ 1,412"
Reclassified to earnings,56,$ (14),42,,"-,$ 42"
Net OCI,$ 2,003,$ (486),$ 1,"517,63,$ 1,454"
