$ in millions,Assets,Assets,Assets,Assets,Assets
$ in millions,Bilateral OTC,,OTC,Cleared Exchange- Traded,Total
Designated as accounting hedges,,,,,
Interest rate,$,946$,,2$,1$ 948
Foreign exchange,,5,2,,7
Total,,951,4,,955
Not designated as accounting hedges,,,,,
Interest rate,,"221,895","10,343",300,"232,538"
Credit,,"5,343","2,198",1,"7,541"
Foreign exchange,,"92,334","1,639",79,"94,052"
Equity,,"34,278",,"34,166","68,444"
Commodity and other,,"11,095",,"3,554","14,649"
Total,,"364,945","14,180","38,099","417,224"
Total gross derivatives,"$365,896",,"$14,184 $","38,099","$418,179"
Amounts offset,,,,,
Counterparty netting,,,"(276,682) (11,601)",,"(35,260) (323,543)"
Cash collateral netting,,"(54,921)","(1,865)",1,"(56,786)"
Total in Trading assets,"$34,293",,$ 718$,,"2,839$37,850"
Amounts not offsetl,,,,,
Financial instruments collateral Other cash collateral,,"(13,319)",,,"(13,319)"
,,(391),一,一,(391)
Net amounts,,"$20,583 $",,718$,"2,839$24,140"
