$in millions,"At At December 31， December 31, 2020 2019"
Gross deferred taxassets Net operating loss and tax credit,
carryforwards $,"330 $ 287 2,075"
Employee compensation and benefit plans,"2,248"
Allowance for credit losses and other reserves,669
"Valuation of inventory, investments and receivables",19
Other,43
Total deferred tax assets,"3,309 3,048"
Deferred tax assets valuation allowance,236
Deferred tax assets after valuation allowance$,"156 3,073 $ 2,892"
Grossdeferred tax liabilities,
Fixed assets,"1,130 983"
"Intangibles,goodwill and other","1,156 411"
Total deferred tax liabilities,"$ 2,286 $ 1,394"
Netdeferred taxassets,"$ 787 $ 1,498"
