At December 31, 2020,Level 1,Level 2,Level 3,Netting^1,Total
$ in millions,Level 1,Level 2,Level 3,Netting^1,Total,
Liabilities at fair value,Level 1,Level 2,Level 3,Netting^1,Total,
Deposits,$,3,395,"$ 126,$""",3,521
Trading liabilities: U.S. Treasury and agency securities,10,204,1,-,10,205
Other sovereign government obligations,24,209,1,738,16,"-,25,963"
Corporate and other debt,-,8,468,-,8,468
Corporate equities^3,67,822,172,63,-,"68,057"
Derivative and other contracts: Interest rate,4,789,213,321,528,"-,218,638"
Credit,-,7,500,652,-,"8,152"
Foreign exchange,11,94,698,199,-,"94,908"
Equity,1,245,81,683,3,"600,-,86,528"
Commodity and other,1,758,9,418,1,"014,-,12,190"
Netting^1,-5,488,-310,534,-1,"351,-58,105,-375,478"
Total derivative and other contracts,2,315,96,086,4,"642,-58,105,44,938"
Total trading liabilities,104,550,106,465,4,"721,-58,105,157,631"
Securities sold under agreements to repurchase,-,671,444,-,1,115
Other secured financings,-,11,185,516,-,"11,701"
Borrowings,-,69,327,4,374,"-,73,701"
Total liabilities at fair value,104,550,191,043,10,"181,-58,105,247,669"
