"$ in millions, except inputs","At December 31, 2020","At December 31, 2019"
Loans and lending commitments,$,"5,759,$,5,073"
Margin loan model:,,
Discount rate,N/A,1% to 9% (2%)
Volatility skew,N/A,15% to 80% (28%)
Credit spread,N/A,9 to 39 bps (19 bps)
Margin loan rate,1% to 5% (3%),N/A
Comparable pricing:,,
Loan price,75 to 102 points (93 points),69 to 100 points (93 points)
Corporate and other debt,$,"3,435,$,1,396"
Bond price,10 to 133 points (101 points),11 to 108 points (84 points)
Discounted cash flow:,,
Recovery rate,40% to 62% (46% / 40%),35 %
Option model:,,
Equity volatility,18% to 21% (19%),21 %
Corporate equities,$,"86,$,97"
Equity price,100%,100 %
Investments,$,"828,$,858"
WACC,8% to 18% (15%),8% to 17% (15%)
Exit multiple,7 to 17 times (12 times),7 to 16 times (11 times)
Market approach:,,
EBITDA multiple,8 to 32 times (11 times),7 to 24 times (11 times)
Equity price,45% to 100% (99%),75% to 100% (99%)
Investment securities,—AFS,"$,2,804,$,—"
Investment securities—AFS,$,"2,804,$"
Bond price,97 to 107 points (101 points),N/A
Net derivative and other contracts:,,
Interest rate,$,"682,$,777"
IR volatility skew,0% to 349% (62% / 59%),24% to 156% (63% / 59%)
IR curve correlation,54% to 99% (87% / 89%),47% to 90% (72% / 72%)
Bond volatility,6% to 24% (13% / 13%),4% to 15% (13% / 14%)
Inflation volatility,25% to 66% (45% / 43%),24% to 63% (44% / 41%)
IR curve,1%,1 %
Credit,$,"49,$,124"
Credit default swap model:,,
Cash-synthetic basis,7 points,6 points
Bond price,0 to 85 points (47 points),0 to 104 points (45 points)
Credit spread,20 to 435 bps (74 bps),9 to 469 bps (81 bps)
Funding spread,65 to 118 bps (86 bps),47 to 117 bps (84 bps)
Correlation model:,,
Credit correlation,27% to 44% (32%),29% to 62% (36%)
Foreign exchange2,$,"61,$,(31)"
IR - FX correlation,55% to 59% (56% 56%),32% to 56% (46% / 46%)
IR curve,6% to 8% (7% / 8%),10% to 11% (10% / 10%)
Foreign exchange volatility skew,-22% to 28% (3% / 1%),N/A
Contingency probability,50% to 95% (83% / 93%),85% to 95% (94% / 95%)
