"At December 31, 2020",Level 1,Level 2,Level 3,Total
$ in millions,,,,
Assets,Cash and cash equivalents^1,$,4,$
Assets,U.S. government and agency securities,"3,038",321,
Assets,Corporate and other debt—CDO,,,
Assets,Derivative contracts,,,
Assets,Other investments,,,
Assets,Other receivables^1,,,
Assets,Total,$,"3,042",$
Assets Measured at NAV,Commingled trust funds:,Money market,,
Assets Measured at NAV,Foreign funds:,Fixed income,,
Assets Measured at NAV,Foreign funds:,Liquidity,,
Assets Measured at NAV,Foreign funds:,Targeted cash flow,,
Assets Measured at NAV,Total,,,
Liabilities,Other payables^1,,,
Liabilities,Total liabilities,,,
Fair value of plan assets,,,,"3,985"
