$ in billions,,"Years to Maturity at December 31,2019","Years to Maturity at December 31,2019","Years to Maturity at December 31,2019","Years to Maturity at December 31,2019","Years to Maturity at December 31,2019","Years to Maturity at December 31,2019"
$ in billions,,<1,1-3,3-5,,Over 5,
Single-name CDS,,,,,,,Total
Investment grade,$,16$,,17$,33$,,9$75
Non-investment grade,,9,9,,16,1,35
Total,,25$,,26$,49$,10$,110
Indexand basket CDS Investment grade,,,,,,,
Non-investment grade,$,7,4$,7$,46$,11$,68
Total,$,11$,,4,17,10,38
Total CDS sold,,,,11$,63$,21$,106
Other credit contracts,$,36$,,37$,112$,31$,216
,,,1,一,二,1,二
Total credit protection sold CDS protection sold with identical protection purchased,,,,$36$37 $,112$,31$,216 $187
