$ in billions,2020,2019,2018
Average common equity,Institutional Securities,$ 42.8,$ 40.4
,Wealth Management,20.8,18.2
,Investment Management,2.6,2.5
ROE,Institutional Securities,15.5 %,10.4 %
,Wealth Management,15.6 %,19.8 %
,Investment Management,23.3 %,28.9 %
Average tangible common equity,Institutional Securities,$ 42.3,$ 39.9
,Wealth Management,11.3,10.2
,Investment Management,1.7,1.5
ROTCE,Institutional Securities,15.7 %,10.5 %
,Wealth Management,28.9 %,35.6 %
,Investment Management,36.0 %,46.6 %
