"At December 31,",$ in millions,2020,2019,2018
Tangible equity,Common shareholders' equity,"$ 92,531","$ 73,029","$ 71,726"
Less: Goodwill and net intangible assets,"(16,615)","(9,249)","(8,847)",
Tangible common shareholders' equity—non-GAAP,"$ 75,916","$ 63,780","$ 62,879",
$ in millions,Average Monthly Balance,,,
Tangible equity,Common shareholders' equity,"$ 80,246","$ 72,720","$ 69,977"
Less: Goodwill and net intangible assets,"(10,951)","(9,140)","(8,985)",
Tangible common shareholders' equity—non-GAAP,"$ 69,295","$ 63,580","$ 60,992",
$ in billions,,2020,2019,2018
Average common equity,Unadjusted—GAAP,$ 80.2,$ 72.7,$ 70.0
Adjusted¹—Non-GAAP,80.3,72.7,,70.0
ROE²,Unadjusted—GAAP,13.1 %,11.7 %,11.8 %
Adjusted¹—Non-GAAP,13.3 %,11.7 %,,11.8 %
Average tangible common equity—Non-GAAP,Unadjusted,$ 69.3,$ 63.6,$ 61.0
Adjusted¹,69.3,63.6,,61.0
ROTCE²—Non-GAAP,Unadjusted,15.2 %,13.4 %,13.5 %
Adjusted¹,15.4 %,13.4 %,,13.5 %
