At December 31, 2020, Carrying Value, Fair Value, Level 1, Level 2, Level 3, Total
$ in millions, $, $, $, $, $, $,
Financial assets, $, $, $, $, $, $,
Cash and cash equivalents, 105,654, 105,654, —, —,"—,105,654"
Investment securities—HTM, 71,771, 31,239, 42,281,"900,74,420"
Securities purchased under agreements to resell, 116,219, —, 114,046, 2,"173,116,219"
Securities borrowed, 112,391, —, 112,392, —,"112,392"
Customer and other receivables1, 92,907, —, 89,832, 3,"041,92,873"
Loans2, 150,597, —, 16,635, 135,"277,151,912"
Other assets, 485, —, 485, —, 485,,
Financial liabilities, $, $, $, $, $, $,
Deposits, 307,261, —, 307,807, —,"307,807"
Securities sold under agreements to repurchase, 49,472, —, 49,315, 195,"49,510"
Securities loaned, 7,731, —, 7,731, —,"7,731"
Other secured financings, 4,162, —, 4,162, —,"4,162"
Customer and other payables1, 224,951, —, 224,951, —,"224,951"
Borrowings, 143,378, —, 150,824, 5,"150,829"
Commitment Amount, $, $, $, $, $, $,
Lending commitments3, 125,498, —, 709, 395, 1,104
