Mean,Std,Min,25%,50%,75%,Max,Faithfulness,Informativeness Step,Informativeness Chain,Faithfulness Word,Repetition Word,Repetition Step,Reasoning Alignment,External Hallucination,Redundancy,Common Sense Error,Missing Step,Semantic Coverage Step,Semantic Coverage Chain,Discourse Representation,Coherence Step Vs Step,Perplexity Step,Perplexity Chain,Perplexity Step Max,Grammar Step,Grammar Step Max
Faithfulness,0.89,0.02,0.83,0.88,0.89,0.93,0.89,0.88,0.88,0.95,0.02,0.02,0.92,0.97,0.80,0.95,0.78,0.99,0.98,0.06,0.14,0.02,0.17,0.00,0.93,0.53
Informativeness Step,0.88,0.01,0.83,0.87,0.88,0.92,,,,,,,,,,,,,,,,,,,,
Informativeness Chain,0.88,0.03,0.76,0.87,0.89,0.96,,,,,,,,,,,,,,,,,,,,
Faithfulness Word,0.95,0.01,0.92,0.94,0.95,0.97,,,,,,,,,,,,,,,,,,,,
Repetition Word,0.02,0.02,-0.00,0.00,0.02,0.05,,,,,,,,,,,,,,,,,,,,
Repetition Step,0.02,0.01,-0.00,0.00,0.01,0.06,,,,,,,,,,,,,,,,,,,,
Reasoning Alignment,0.92,0.01,0.86,0.91,0.92,0.95,,,,,,,,,,,,,,,,,,,,
External Hallucination,0.97,0.02,0.84,0.96,0.97,0.99,,,,,,,,,,,,,,,,,,,,
Redundancy,0.80,0.05,0.56,0.77,0.80,0.92,,,,,,,,,,,,,,,,,,,,
Common Sense Error,0.95,0.01,0.86,0.94,0.95,0.98,,,,,,,,,,,,,,,,,,,,
Missing Step,0.78,0.03,0.58,0.76,0.78,0.88,,,,,,,,,,,,,,,,,,,,
Semantic Coverage Step,0.99,0.01,0.95,0.98,0.99,1.00,,,,,,,,,,,,,,,,,,,,
Semantic Coverage Chain,0.98,0.01,0.93,0.98,0.98,0.99,,,,,,,,,,,,,,,,,,,,
Discourse Representation,0.06,0.13,0.00,0.01,0.01,0.67,,,,,,,,,,,,,,,,,,,,
Coherence Step Vs Step,0.14,0.27,0.00,0.00,0.01,0.94,,,,,,,,,,,,,,,,,,,,
Perplexity Step.,0.02,0.01,0.00,0.02,0.02,0.07,,,,,,,,,,,,,,,,,,,,
Perplexity Chain,0.17,0.07,0.05,0.11,0.17,0.42,,,,,,,,,,,,,,,,,,,,
Perplexity Step Max,0.00,0.00,0.00,0.00,0.00,0.02,,,,,,,,,,,,,,,,,,,,
Grammar Step,0.93,0.04,0.77,0.90,0.93,0.99,,,,,,,,,,,,,,,,,,,,
Grammar Step Max,0.53,0.35,0.02,0.12,0.65,0.99,,,,,,,,,,,,,,,,,,,,
