,Question Types,Question Types,Question Types,Skill Types,Skill Types,Skill Types,Skill Types
,,,,Assoc. Interv. Counterf. CI Method,Formalization ofCausal,Causal RE,Qualitative Reasoning
Datasets for Causality as Knowledge (Commonsense Causality),,,,,Queries,,
COPA [2012],,,,X,,,
Event2Mind [2018],,,,,,,xxxxxxxxx
ATOMIC [2019],xxxxx,,xxx,xx,xxxxx,xxxxxxxxx,
SocialIQA[2019],,,,X,,,
TimeTravel [2019],,,x X,X,,,
Goal-Step [2020],,√,,X,,,
Abductive (ART) [2020],,,xxx,X,xx,,
Com2Sense [2021],xxxx,√,,,,,
CRASS [2022],,X,,xx,xx,,
Datasets for Causality as Language Comprehension (Causal Relation Extraction),Datasets for Causality as Language Comprehension (Causal Relation Extraction),Datasets for Causality as Language Comprehension (Causal Relation Extraction),Datasets for Causality as Language Comprehension (Causal Relation Extraction),Datasets for Causality as Language Comprehension (Causal Relation Extraction),Datasets for Causality as Language Comprehension (Causal Relation Extraction),Datasets for Causality as Language Comprehension (Causal Relation Extraction),Datasets for Causality as Language Comprehension (Causal Relation Extraction)
SemEval2021 Task8 [2010],,,,,X,,
EventCausality [2011],xxx,xxx,,,xxxxx,,xxxxxx
Causal-TimeBank [2014],,,,xx,,,
CaTeRS[2016],xx,,x,xxx,,,
BECauSE [2017],,,,,,,
TellMeWhy [2021],X,xxx,X,,,,
Datasets for Formal Causal Reasoning,Datasets for Formal Causal Reasoning,Datasets for Formal Causal Reasoning,Datasets for Formal Causal Reasoning,Datasets for Formal Causal Reasoning,Datasets for Formal Causal Reasoning,Datasets for Formal Causal Reasoning,Datasets for Formal Causal Reasoning
Corr2Cause [42],X,,X,,,X,X
CLADDER (Ours),,「,,,,,
