Question Types,Assoc.,Interv.,Counterf.,CI Method,Formalization of Causal Queries,Causal RE,Qualitative Reasoning
Datasets for Causality as Knowledge (Commonsense Causality),,,,,,,
COPA [2012],,✓,,✓,,,
Event2Mind [2018],,✓,,✓,,,
ATOMIC [2019],,✓,,✓,,,
SocialIQA [2019],,✓,,✓,,,
TimeTravel [2019],,✓,,✓,,,
Goal-Step [2020],,✓,,✓,,,
Abductive (ART) [2020],,✓,,✓,,,
Com2Sense [2021],,✓,,✓,,,
CRASS [2022],,✓,,,,,
Datasets for Causality as Language Comprehension (Causal Relation Extraction),,,,,,,
SemEval2021 Task8 [2010],,✓,,,,,
EventCausality [2011],,✓,,,,,
Causal-TimeBank [2014],,✓,,,,,
CaTeRS [2016],,✓,,,,,
BECauSE [2017],,✓,,,,,
TellMeWhy [2021],,✓,,,,,
Datasets for Formal Causal Reasoning,,,,,,,
Corr2Cause [42],,✓,,,,,
CLADDER (Ours),,✓,,✓,,✓,",✓,,✓,,✓"
