,Overall Acc.,Acc. by Rung,Acc. by Rung,Acc. by Rung,Acc.by Commonsense Alignment,Acc.by Commonsense Alignment,Acc.by Commonsense Alignment
,Overall Acc.,1,2,3,Comm.,Nonsens.,Anti-C.
Random,49.27,50.28,48.40,49.12,49.01,49.69,49.12
LLaMa,44.03,48.23,29.46,52.66,45.14,44.22,42.67
Alpaca,44.66,52.03,29.53,51.13,44.86,44.40,44.77
GPT-3 Non-Instr. (davinci),49.92,50.00,49.75,50.00,49.06,49.97,50.72
GPT-3 Instr. (text-davinci-001),51.40,51.30,52.63,50.47,54.31,50.13,50.05
GPT-3 Instr. (text-davinci-002),53.15,50.85,56.96,51.90,55.33,52.47,51.81
GPT-3 Instr. (text-davinci-003),56.26,51.11,62.97,54.96,56.83,54.79,57.49
GPT-3.5,52.18,51.80,54.78,50.32,54.09,50.68,52.09
GPT-4,62.03,63.01,62.82,60.55,62.27,63.09,60.47
+ CAUSALCOT,70.40,83.35,67.47,62.05,69.25,71.58,70.12
