Overall Acc.,1,2,3,Acc. by Rung,Anti-C.,Nonsens.,Comm.,Acc. by Empirical Alignment
Random split,49.27,50.28,48.40,49.12,49.69,49.01,49.12,49.12
LLaMa,45.22,63.33,31.10,41.45,45.31,45.21,45.12,45.12
Alpaca,45.54,63.33,31.57,41.91,45.94,45.21,45.21,45.49
GPT-3 Non-Instr. (davinci),47.42,63.88,32.99,44.89,47.0,48.28,46.97,47.0
GPT-3 Instr. (text-davinci-001),57.07,63.95,63.63,48.04,59.12,57.81,54.28,54.28
GPT-3 Instr. (text-davinci-002),56.24,46.03,69.55,55.04,54.75,59.65,54.31,54.31
GPT-3 Instr. (text-davinci-003),62.69,58.0,80.83,54.52,63.93,62.09,62.05,62.05
GPT-3.5 (queried in May 2023),61.71,65.12,69.9,54.11,65.43,55.15,64.55,64.55
GPT-4 (queried in May 2023),64.28,53.94,81.87,63.11,65.75,60.87,66.21,66.21
+ CAUSALCoT,66.64,61.67,86.13,58.23,69.32,63.02,67.60,67.60
