```csv
"Exhibit Number","Exhibit Description","Form","File No.","Incorporated by Reference","Filing Date","Filed Herewith"
"10.32†","Amendment to Gigafactory General Terms, dated March 1, 2016, by and among the Registrant, Panasonic Corporation and Panasonic Energy Corporation of North America.","8-K","001-34756","10.1","October 11, 2016",""
"10.33††","Amended and Restated General Terms and Conditions for Gigafactory, entered into on June 10, 2020, by and among Registrant, Tesla Motors Netherlands B.V., Panasonic Corporation and Panasonic Corporation of North America.","10-Q","001-34756","10.2","July 28, 2020",""
"10.34†","Production Pricing Agreement between Panasonic Corporation and the Registrant dated October 1, 2014.","10-Q","001-34756","10.3","November 7, 2014",""
"10.35†","Investment Letter Agreement between Panasonic Corporation and the Registrant dated October 1, 2014.","10-Q","001-34756","10.4","November 7, 2014",""
"10.36","Amendment to Gigafactory Documents, dated April 5, 2016, by and among the Registrant, Panasonic Corporation, Panasonic Corporation of North America and Panasonic Energy Corporation of North America.","10-Q","001-34756","10.2","May 10, 2016",""
"10.37††","2019 Pricing Agreement (Japan Cells) with respect to 2011 Supply Agreement, executed September 20, 2019, by and among the Registrant, Tesla Motors Netherlands B.V., Panasonic Corporation and SANYO Electric Co., Ltd.","10-Q","001-34756","10.6","October 29, 2019",""
"10.38††","2020 Pricing Agreement (Gigafactory 2170 Cells), entered into on June 9, 2020, by and among Registrant, Tesla Motors Netherlands B.V., Panasonic Corporation and Panasonic Corporation of North America.","10-Q","001-34756","10.3","July 28, 2020",""
"10.39††","2021 Pricing Agreement (Japan Cells) with respect to 2011 Supply Agreement, executed December 29, 2020, by and among the Registrant, Tesla Motors Netherlands B.V., Panasonic Corporation of North America and SANYO Electric Co., Ltd.","—","—","—","—","X"
"10.40††","Amended and Restated Factory Lease, executed as of March 26, 2019, by and between the Registrant and Panasonic Energy North America, a division of Panasonic Corporation of North America, as tenant.","10-Q","001-34756","10.3","July 29, 2019",""
"10.41††","Lease Amendment, executed September 20, 2019, by and among the Registrant, Panasonic Corporation of North America, on behalf of its division Panasonic Energy of North America, with respect to the Amended and Restated Factory Lease, executed as of March 26, 2019.","10-Q","001-34756","10.7","October 29, 2019",""
"10.42††","Second Lease Amendment, entered into on June 9, 2020, by and between the Registrant and Panasonic Energy of North America, a division of Panasonic Corporation of North America, with respect to the Amended and Restated Factory Lease dated January 1, 2017.","10-Q","001-34756","10.1","July 28, 2020",""
```
