,2023,2023
Cash paid for amounts included in the measurement of lease liabilities:,,
Operating cash flows from operating leases,781,814
Operating cash flows from finance leases,,1
Financing cash flows from finance leases,18,18
Lease assets obtained in exchange for new lease liabilities:,,
Operating leases,809,759
Finance leases,18,21
Weighted average remaining lease term (in years):,,
Operating leases,5.1,5.1
Finance leases,5.5,5.0
Weighted average discount rate:,,
Operating leases,3.0%,2.5 %
Finance leases,3.2 %,2.4 %
