Exhibit No.,Exhibit Description,Form Exhibit,Filing Date,Herewith
3.1,Amended and Restated Articles of Incorporation,8-K,3.1,6/12/2020
3.2,Amended and Restated By-Laws,8-K,3.1,6/14/2018
,"Formof Indenture,tobe dated as of March 11,2011,between Best BuyCo.,Inc.and U.S.Bank NationalAssociationas",S-3ASR,4.1,3/8/2011
4.1,"successor trustee ThirdSupplemental Indenture,dated as of September 27.2018.to the Indenture dated as ofMarch 11.201.between Best",,,
4.2,"Buy Co.,Inc. and U.S. Bank National Association,as successor",8-K,4.1,9/27/2018
4.3,Form of 4.450% Notes due 2028 (included in Exhibit 4.2),,,
44,"FourthSupplementalIndenturedated asofOctober12020tothe Indenturedated asofMarch11,201betweenBestBuy Co. Inc. and U.S. Bank National Association,as successor trustee",8-K,4.1,10/1/2020
4.5,Form of 1.950% Notes due 2030 (included in Exhibit 4.4),,,
,"Five-Year CreditAgreementdated asofMay182021,amongBestBuyCo.,Inc.,the SubsidiaryGuarantors,theLenders",8-K,10.1,5/20/2021
10.1,"and JPMorgan Chase Bank, N.A.,as administrative agent",,,
*10.2,"Best Buy Co.,Inc. 2004 Omnibus Stock and Incentive Plan,as amended",S-8,99,7/15/2011
*10.3,"2010 Long-Term Incentive Program Award Agreement, as approved bythe Board of Directors",10-K,10.7,4/28/2010
*10.4,"Letter Agreement, dated March 25, 2013,between Best Buy Co.,Inc. and Richard M. Schulze",8-K,99.2,3/25/2013
*10.5,"Form of Best Buy Co., Inc.Long-Term Incentive Program Award",10-K,10.19,3/28/2014
*10.6,"Form of Best Buy Co.,Inc. Director Restricted Stock Unit Award Agreement",10-K,10.20,3/28/2014
*10.7,"Form of Best Buy Co.,Inc.Long Term Incentive Program Award Agreement (2014).",10-Q,10.1,12/5/2014
*10.8,"Best Buy Co.,Inc. 2014 Omnibus Incentive Plan",S-8,99,6/17/2014
*10.9,"Form of Best Buy Co.,Inc. Director Restricted Stock Unit Award Agreement (2014).",10-Q,10.1,9/10/2014
*10.10,Best Buy Sixth Amended and Restated Deferred Compensation Plan,10-K,10.19,3/31/2015
