Assets,"January 1, 2023","January 1, 2024"
Current assets,Cash and cash equivalents,"$ 1,874,$ 2,936"
Current assets,"Receivables, net","1,141,1,042"
Current assets,Merchandise inventories,"5,140,5,965"
Current assets,Other current assets,"647,596"
Current assets,Total current assets,"8,802,10,539"
Property and equipment,Land and buildings,"688,671"
Property and equipment,Leasehold improvements,"2,260,2,160"
Property and equipment,Fixtures and equipment,"3,928,5,419"
Property and equipment,Property under finance leases,"100,91"
Property and equipment,Gross property and equipment,"6,976,8,341"
Property and equipment,Less accumulated depreciation,"4,624,6,091"
Property and equipment,Net property and equipment,"2,352,2,250"
Property and equipment,Operating lease assets,"2,746,2,654"
Goodwill,Goodwill,"1,383,1,384"
Other assets,Other assets,"520,677"
Total assets,Total assets,"$ 15,803,$ 17,504"
