,U.S. Stores(1),,U.S. Stores(1)
Alabama,11,Nebraska,5
Alaska,2,Nevada,9
Arizona,22,New Hampshire,6
Arkansas,7,New Jersey,26
Califomia,133,New Mexico,5
Colorado,23,New York,47
Connecticut,10,North Carolina,31
Delaware,3,North Dakota,4
District of Columbia,1,Ohio,32
Florida,61,Oklahoma,12
Georgia,28,Oregon,11
Hawaii,2,Pennsylvania,33
Idaho,5,Puerto Rico,2
Iinois,42,Rhode Island,1
Indiana,22,South Carolina,13
lowa,10,South Dakota,2
Kansas,8,Tennessee,14
Kentucky,9,Texas,100
Louisiana,15,Utah,11
Maine,3,Vermont,1
Maryland,22,Virginia,31
Massachusetts,21,Washington,20
Michigan,29,West Virginia,5
Minnesota,20,Wisconsin,20
Misssippi,7,Wyoming,1
Missouri,17,Total Domestic store count Square footage (in thousands),978
Montana,3,,"37,388"
