Company Name,State,Location,Notes
BBC Investment Co.,,,
"Nichols Distribution,LLC",Minnesota,Minnesota,
"Magnolia Hi-Fi,LLC (2)",Washington,Washington,
"Pacific Sales Kitchen and Bath Centers,LLC",California,California,
"ProTheo III,LLC",Delaware,Delaware,
"Two Peaks,LLC (3)",Delaware,Delaware,
"USB RETC Fund 2019-7,LLC",Delaware,Delaware,
"Lily Solar Lessee,LLC #",Delaware,Delaware,
"Albedo Lessee 2,LLC # USB RETC Fund 2020-12,LLC",Delaware,Delaware,
"Little Bear Master Tenant,LLC #",Delaware,Delaware,
"USB RETC Fund 2020-19,LLC",Delaware,Delaware,
"Prospero II Master Tenant,LLC#",Delaware,Delaware,
"BBY Holdings International,Inc.",Minnesota,Minnesota,
"Best Buy China Holdings,Ltd.",Mauritius,Mauritius,
"Best Buy Shanghai,Ltd.",China,China,
"Best Buy Enterprise Services,Inc.",Minnesota,China,
"BBY Canada Finance,LLC",Delaware,Minnesota,
"BBY Solutions,Inc.",Minnesota,Delaware,
Best Buy Canada Ltd. / Magasins Best Buy LTEE (4),Canada+,Minnesota,
Best Buy China Ltd.,Bermuda,Bermuda,
Best Buy Purchasing LLC (5),Minnesota,Minnesota,
"Partsearch Technologies,Inc.",Delaware,Delaware,
"ProTheo,Inc.",Delaware,Delaware,
"ProTheo IV,LLC",Delaware,Delaware,
Best Buy Distributions Limited,United Kingdom,United Kingdom,
"ProTheo V,LLC",Delaware,Delaware,
"Best Buy Finance,Inc.",Minnesota,Minnesota,
BBY (Mauritius) Ltd.,Mauritius,Mauritius,
BBY (Mauritius I) Ltd.,Mauritius,Mauritius,
BBY (Mauritius II) Ltd.,Mauritius,Mauritius,
Best Buy China %,China,China,
BBY (Mauritius III) Ltd.,Mauritius,Mauritius,
Best Buy (AsiaPacific) Limited,China,China,
"Best Buy International Finance,S.à r.l.",Luxembourg,Luxembourg,
"Best Buy Enterprises,S. de R.L. de C.V.","Mexico,Federal District","Mexico,Federal District",
"Best Buy Imports,S. de R.L. de C.V.","Mexico,Federal District","Mexico,Federal District",
"Best Buy Stores,S. de R.L. de C.V.","Mexico,Federal District","Mexico,Federal District",
ExB Hong Kong Limited,Hong Kong,Hong Kong,
"Best Buy Health Holdings,LLC",Delaware,,
