Assets,,
Current assets,,
Cash and cash equivalents,"1,874","$ 2,936"
"Receivables, net","1,141","1,042"
Merchandise inventories,,
,"5,140",5.965
Other current assets,647,596
Total current assets,"8,802","10,539"
Property and equipment,,
Land and buildings,688,671
Leasehold improvements Fixtures and equipment,2.260,"2,160"
Property under finance leases,3.928,"5,419"
Gross property and equipment,100,91
Less accumulated depreciation,"6,976","8,341"
Net property and equipment,"4,624","6,091"
Operating lease assets,2.352,"2,250"
Goodwill,"2,746","2,654"
Other assets,1.383,1.384
Total assets,"520 $ 15,803","677 $ 17,504"
