Balance Sheet Location,"January 28, 2023","January 28, 2023","January 29, 2022","January 29, 2022"
Assets,,,,
Assets,Operating lease assets,"$2,746","$2,654",
Assets,"Property under finance leases, net(1)",,50,
Assets,Total lease assets,$2.796,"$2,699",
Liabilities,,,,
Liabilities,Current,,,
Liabilities,Operating leases,Current portion of operating lease liabilities,$638,$648
Liabilities,Finance leases,Current portion of long-term debt,16,13
Liabilities,Non-current,,,
Liabilities,Operating leases,Long-term operating lease liabilities,"$2,164","$2,061"
Liabilities,Finance leases,Long-term debt,26,27
Liabilities,Total lease liabilities,"$2,844","$2,749",
