U.S. Stores(1),U.S. Stores(1),U.S. Stores(1),U.S. Stores(1),U.S. Stores(1)
Alabama,11,,,
Alaska,2,,,
Arizona,22,,,
Arkansas,7,,,
California,133,,,
Colorado,23,,,
Connecticut,10,,,
Delaware,3,,,
District of Columbia,1,,,
Florida,61,,,
Georgia,28,,,
Hawaii,2,,,
Idaho,5,,,
Illinois,42,,,
Indiana,22,,,
Iowa,10,,,
Kansas,8,,,
Kentucky,9,,,
Louisiana,15,,,
Maine,3,,,
Maryland,22,,,
Massachusetts,21,,,
Michigan,29,,,
Minnesota,20,,,
Mississippi,7,,,
Missouri,17,,,
Montana,3,,,
Nebraska,5,,,
Nevada,9,,,
New Hampshire,6,,,
New Jersey,26,,,
New Mexico,5,,,
New York,47,,,
North Carolina,31,,,
North Dakota,4,,,
Ohio,32,,,
Oklahoma,12,,,
Oregon,11,,,
Pennsylvania,33,,,
Puerto Rico,2,,,
Rhode Island,1,,,
South Carolina,13,,,
South Dakota,2,,,
Tennessee,14,,,
Texas,100,,,
Utah,11,,,
Vermont,1,,,
Virginia,31,,,
Washington,20,,,
West Virginia,5,,,
Wisconsin,20,,,
Wyoming,1,,,
Total Domestic store count,978,,,
Square footage (in thousands),37388,,,
