Domestic Segment Performance Summary,2023,2022,2021
Revenue,"$42,794","$47,830","$43,293"
Revenue % change,(10.5)%,10.5 %,7.9 %
Comparable sales % change,(10.3)%,11.0 %,9.2 %
Gross profit,"$9,106","$10,702","$9,720"
Gross profit as a % of revenue,21.3 %,22.4 %,22.5 %
SG&A,"$7,332","$7,946","$7,239"
SG&A as a % of revenue,17.1 %,16.6 %,16.7 %
Restructuring charges,$140,$(39),$133
Operating income,"$1,634","$2,795","$2,348"
Operating income as a % of revenue,3.8 %,5.8 %,5.4 %
Selected Online Revenue Data,,,
Total online revenue,"$14,212","$16,430","18,674"
Online revenue as a % of total segment revenue,33.2 %,34.4 %,$ 43.1 %
Comparable online sales% change(1),(13.5)%,(12.0)%,144.4 %
