Statement of Earnings Location,Cost of sales,Cost of sales,Cost of sales,Cost of sales,Cost of sales
Inventory markdowns,-,$17,$17,$17,$17
Asset impairments(1),10,63,73,73,73
Termination benefits,83,20,103,103,103
Currency translation adjustment,-,39,39,39,39
Other(2),-,6,6,6,6
Cumulative Amount as of January 26, 2023,Cumulative Amount as of January 26, 2023,Cumulative Amount as of January 26,"2023,Cumulative Amount as of January 26,2023,Cumulative Amount as of January 26,2023"
Domestic,Domestic,Domestic,Domestic,Domestic,
International,International,International,International,International,
Total,Total,Total,Total,Total,
