Company Name,State,Location,Notes
State of Other Jurisdiction of Incorporation of Organization\tNevada\tMinnesota\tMinnesota\tVirginia\tDelaware\tVirginia\tDelaware\tPuerto Rico\tVirginia\tDelaware\tMinnesota\tWashington\tCalifornia\tDelaware,,,
BBC Investment Co.\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t,,,
Nichols Distribution,LLC,Minnesota,
Magnolia Hi-Fi,LLC (2),Washington,
Pacific Sales Kitchen and Bath Centers,LLC,California,
ProTheo III,LLC,Delaware,
Two Peaks,LLC (3),Delaware,
USB RETC Fund 2019-7,LLC,Delaware,
Lily Solar Lessee,LLC #,Delaware,
USB RETC Fund 2019-8,LLC,Delaware,
Albedo Lessee 2,LLC #,Delaware,
USB RETC Fund 2020-12,LLC,Delaware,
Little Bear Master Tenant,LLC #,Delaware,
USB RETC Fund 2020-19,LLC,Delaware,
Prospero II Master Tenant,LLC#,Delaware,
BBY Holdings International,Inc.,Minnesota,
Best Buy China Holdings,Ltd.,Mauritius,
Best Buy Shanghai,Ltd.,China,
Company Name\tState/Province/Country,,,
BBY Holdings International,Inc.\tMinnesota,,
Best Buy China Holdings,Ltd.\tMauritius,,
Best Buy Shanghai,Ltd.\tChina,,
Best Buy Enterprise Services,Inc.\tMinnesota,,
BBY Canada Finance,LLC\tDelaware,,
BBY Solutions,Inc.\tMinnesota,,
Best Buy Canada Ltd. / Magasins Best Buy LTEE (4)\tCanada+,,,
Best Buy China Ltd.\tBermuda,,,
Best Buy Purchasing LLC (5)\tMinnesota,,,
Partsearch Technologies,Inc.\tDelaware,,
ProTheo,Inc.\tDelaware,,
ProTheo IV,LLC\tDelaware,,
Best Buy Distributions Limited\tUnited Kingdom,,,
ProTheo V,LLC\tDelaware,,
Best Buy Finance,Inc.\tMinnesota,,
BBY (Mauritius) Ltd.\tMauritius,,,
BBY (Mauritius I) Ltd.\tMauritius,,,
BBY (Mauritius II) Ltd.\tMauritius,,,
Best Buy China %\tChina,,,
BBY (Mauritius III) Ltd.\tMauritius,,,
Best Buy (AsiaPacific) Limited\tChina,,,
Best Buy International Finance,S.à r.l.\tLuxembourg,,
Best Buy Enterprises,S. de R.L. de C.V.\tMexico,Federal District,
Best Buy Imports,S. de R.L. de C.V.\tMexico,Federal District,
Best Buy Stores,S. de R.L. de C.V.\tMexico,Federal District,
ExB Hong Kong Limited\tHong Kong,,,
Best Buy Health Holdings,LLC\tDelaware,,
Best Buy Health Holdings,LLC\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t,,
